Description,Category,CategoryID
JEA,utilities,1
Keys Energy Services,utilities,1
Kissimmee Utility Authority,utilities,1
Lakeland Electric,utilities,1
Lake Worth Utilities,utilities,1
Lee County Electric Cooperative,utilities,1
Leesburg Electric Department,utilities,1
Ocala Electric Utility,utilities,1
Okefenoke Rural Electric Membership Corporation,utilities,1
Orlando Utilities Commission,utilities,1
Palm Peach,utilities,1
Peace River Electric Cooperative,utilities,1
Progress Energy Florida,utilities,1
PowerSouth Energy Cooperative,utilities,1
Reedy Creek Energy Services,utilities,1
St. Cloud Utilities,utilities,1
Seminole Electric Cooperative,utilities,1
Sumter Electric Cooperative,utilities,1
Suwannee Valley Electric Cooperative,utilities,1
Talquin Electric Cooperative,utilities,1
"TECO Energy, a part of Emera",utilities,1
Town of Havana Utilities,utilities,1
Tri-County Electric Cooperative,utilities,1
West Florida Electric Cooperative,utilities,1
Withlacoochee River Electric Cooperative,utilities,1
"Georgia Power, a part of the Southern Company",utilities,1
Municipal Electric Authority of Georgia (MEAG Power),utilities,1
Oglethorpe Power,utilities,1
Tennessee Valley Authority,utilities,1
Altamaha EMC,utilities,1
Amicalola EMC,utilities,1
Blue Ridge Mountain EMC,utilities,1
Canoochee EMC,utilities,1
Carroll EMC,utilities,1
Central Georgia EMC,utilities,1
Coastal Electric Cooperative,utilities,1
Cobb EMC,utilities,1
Colquitt EMC,utilities,1
Coweta-Fayette EMC,utilities,1
Diverse Power Inc.,utilities,1
Diverse Power Inc. - Pataula District,utilities,1
Excelsior EMC,utilities,1
Flint Energies,utilities,1
Grady EMC,utilities,1
GreyStone Power Corp.,utilities,1
Habersham EMC,utilities,1
Hart EMC,utilities,1
Irwin EMC,utilities,1
Jackson EMC,utilities,1
Jefferson Energy Cooperative,utilities,1
Little Ocmulgee EMC,utilities,1
Marietta Power,utilities,1
Middle Georgia EMC,utilities,1
Mitchell EMC,utilities,1
North Georgia EMC,utilities,1
Ocmulgee EMC,utilities,1
Oconee EMC,utilities,1
Okefenoke REMC,utilities,1
Planters EMC,utilities,1
Rayle EMC,utilities,1
Satilla REMC,utilities,1
Sawnee EMC,utilities,1
Slash Pine EMC,utilities,1
Snapping Shoals EMC,utilities,1
Southern Rivers Energy,utilities,1
Sumter EMC,utilities,1
Three Notch EMC,utilities,1
Tri-County EMC,utilities,1
Tri-State EMC,utilities,1
Upson EMC,utilities,1
Walton EMC,utilities,1
Washington EMC,utilities,1
Direct Energy,utilities,1
"Hawaiian Electric Company (HECO), Oʻahu subsidiary of Hawaiian Electric Industries",utilities,1
"Hawaiian Electric Light Company (HELCO), Island of Hawaiʻi subsidiary of Hawaiian Electric Industries",utilities,1
Kauaʻi Island Utility Cooperative (KIUC),utilities,1
"Maui Electric Company (MECO), Maui County subsidiary of Hawaiian Electric Industries",utilities,1
Avista,utilities,1
Clearwater Power,utilities,1
IDACORP (Idaho Power),utilities,1
PacifiCorp (Rocky Mountain Power),utilities,1
Ambit Energy,utilities,1
Ameren,utilities,1
Champion Energy,utilities,1
"City Water, Light & Power (Springfield, Illinois)",utilities,1
"ComEd, a subsidiary of Exelon",utilities,1
Direct Energy,utilities,1
American Electric Power (Indiana Michigan Power),utilities,1
Cinergy Corporation,utilities,1
Duke Energy,utilities,1
Indiana Municipal Power Agency,utilities,1
Indianapolis Power & Light,utilities,1
NiSource,utilities,1
Northern Indiana Public Service Company,utilities,1
Vectren (Southern Indiana Gas & Electric Company),utilities,1
"Interstate Power and Light Company, a part of Alliant Energy",utilities,1
MidAmerican Energy,utilities,1
Kansas City Board of Public Utilities,utilities,1
Kansas City Power and Light Company,utilities,1
Westar Energy,utilities,1
American Electric Power,utilities,1
Cinergy Corporation,utilities,1
Direct Energy,utilities,1
Duke Energy,utilities,1
Thermal Clean,pest control,2
The Pest Control Co.,pest control,2
Safer Pest Control,pest control,2
Regal Termite & Pest Control,pest control,2
Premier Pest Management,pest control,2
Pest Eliminators Inc.,pest control,2
"Pest Detector, Inc.",pest control,2
Pest Control of Tamarac,pest control,2
New Era Pest Control,pest control,2
Larue Pest Management Inc.,pest control,2
Krypton Pest Control Co.,pest control,2
Jones & Sons Pest Control,pest control,2
Home Team Pest Defense,pest control,2
Home Protection Pest Control,pest control,2
Green Solutions Lawn Care & Pest Control,pest control,2
Green Palm Pest Control,pest control,2
Good News Pest Solutions,pest control,2
First Choice Fertilization and Pest Control,pest control,2
Emergency Pest Patrol LLC,pest control,2
Eagle Pest Control Co.,pest control,2
Dame Pest Solutions Inc.,pest control,2
Critter & Pest Defense,pest control,2
