Description,Cost
Urban Solutions,1921
Sumitomo Mitsui Financial Group,546
Talquin Electric Cooperative,405
Big Crew Maintenance,686
Cavasa,1403
Jones & Sons Pest Control,464
Innov Pest Management,1918
Palm Peach,934
Pest Eliminators Inc.,581
First Hawaiian Bank,1459
Fix Home Services,1847
Zions Bancorporation,314
Black Ace Pest,1842
Safe Circle,1722
M&T Bank,205
The Bank of New York Mellon,993
"TECO Energy, a part of Emera",970
Arvest Bank,955
Sumter Electric Cooperative,995
Frost Bank,565
Reliable Home Repair,358
Kansas City Power and Light Company,1733
KeyCorp,1490
Thermal Clean,460
Capital One,1013
American Electric Power (Indiana Michigan Power),1770
Neeyou Pest Control,991
Tri-County Electric Cooperative,1657
Teggaway,1390
primosafe Pest Control,1285
Direct Energy,532
E-Square Home Services,1732
Seminole Electric Cooperative,274
Oglethorpe Power,1956
Bluebig,1253
Sawnee EMC,839
"Hawaiian Electric Company (HECO), Oʻahu subsidiary of Hawaiian Electric Industries",1768
Municipal Electric Authority of Georgia (MEAG Power),1592
1st Service Handyman,291
Awesome Home Repair,1275
Excelsior EMC,329
Tri-County EMC,1727
State Farm,727
Craftworks Home Remodeling,1080
Workman Home Repairs,760
At-Home Services,1172
pestPrism,1653
Mr Handy Hands,1467
Ambassador Pest Management,1261
Certified Pest Control,1902
Washington Federal,1283
Snapping Shoals EMC,680
Ally Financial,735
East West Bank,1565
Principal Home Repair,1343
Zapp the bug,1330
Repair My Appliance,1002
Indiana Municipal Power Agency,1856
Satilla REMC,392
Credible Construction,684
SunTrust Banks,1454
Ocala Electric Utility,208
Discover Financial,727
American Express,796
New Era Pest Control,1545
Eagle Pest Control Co.,1223
VitoPower,438
TIAA,1346
Coastal Electric Cooperative,452
Critter & Pest Defense,1542
Barclays,503
"Hawaiian Electric Light Company (HELCO), Island of Hawaiʻi subsidiary of Hawaiian Electric Industries",1931
Advantage Pest Control,612
More House Improvements,1855
Appliance Master,1624
Power Pro Handyman,1000
FNB Corporation,1064
"Interstate Power and Light Company, a part of Alliant Energy",1666
Raymond James Financial,1376
Accent Home Repair,1359
Colquitt EMC,737
Espanza,1800
Northern Trust,682
hexa care,1991
TCF Financial Corporation,1345
Uptown Home Repair & Maint.,1071
Slash Pine EMC,745
Lake Worth Utilities,1716
First Horizon National Corporation,387
Prupest,1913
Harmony Improvements,1240
UMB Financial Corporation,1053
U.S. Bancorp,1376
Firstsafe,485
Well Circle Home Services,1936
The Appliance Repair Doctor,1050
Premier Pest Management,266
"ComEd, a subsidiary of Exelon",314
Old National Bank,1943
Withlacoochee River Electric Cooperative,267
First Choice Fertilization and Pest Control,849
